method,horizon,seed,update,generated_training_trajectories,training_actions,purchased_reference_queries,purchased_invariant_checks,candidate_reference_labels,evaluation_episodes,reference_success,cheap_success,cheap_false_acceptance,reporting_reference_queries
full,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
full,12,0,25,200,2400,149,1788,149,256,0.55078125,0.82421875,0.2734375,256
full,12,0,50,400,4800,318,3816,318,256,0.6796875,0.8828125,0.203125,256
full,12,0,75,600,7200,490,5880,490,256,0.71875,0.91015625,0.19140625,256
full,12,0,100,800,9600,673,8076,673,256,0.76171875,0.90625,0.14453125,256
full,12,0,125,1000,12000,854,10248,854,256,0.82421875,0.9296875,0.10546875,256
full,12,0,150,1200,14400,1037,12444,1037,256,0.8515625,0.9375,0.0859375,256
full,12,0,175,1400,16800,1227,14724,1227,256,0.8671875,0.9375,0.0703125,256
full,12,0,200,1600,19200,1416,16992,1416,256,0.88671875,0.94921875,0.0625,256
full,12,0,225,1800,21600,1606,19272,1606,256,0.8984375,0.9609375,0.0625,256
full,12,0,250,2000,24000,1801,21612,1801,256,0.91796875,0.96875,0.05078125,256
full,12,0,275,2200,26400,1994,23928,1994,256,0.9140625,0.96484375,0.05078125,256
full,12,0,300,2400,28800,2187,26244,2187,256,0.9140625,0.9609375,0.046875,256
proxy,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
proxy,12,0,25,200,2400,0,0,159,256,0.4375,0.88671875,0.44921875,256
proxy,12,0,50,400,4800,0,0,336,256,0.4921875,0.90234375,0.41015625,256
proxy,12,0,75,600,7200,0,0,517,256,0.49609375,0.92578125,0.4296875,256
proxy,12,0,100,800,9600,0,0,700,256,0.546875,0.9375,0.390625,256
proxy,12,0,125,1000,12000,0,0,879,256,0.5546875,0.953125,0.3984375,256
proxy,12,0,150,1200,14400,0,0,1063,256,0.4765625,0.9609375,0.484375,256
proxy,12,0,175,1400,16800,0,0,1253,256,0.42578125,0.95703125,0.53125,256
proxy,12,0,200,1600,19200,0,0,1442,256,0.26171875,0.96875,0.70703125,256
proxy,12,0,225,1800,21600,0,0,1635,256,0.26171875,0.97265625,0.7109375,256
proxy,12,0,250,2000,24000,0,0,1831,256,0.25390625,0.97265625,0.71875,256
proxy,12,0,275,2200,26400,0,0,2027,256,0.22265625,0.97265625,0.75,256
proxy,12,0,300,2400,28800,0,0,2221,256,0.21875,0.9765625,0.7578125,256
whole_group_residual,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
whole_group_residual,12,0,25,200,2400,70,840,153,256,0.51171875,0.8359375,0.32421875,256
whole_group_residual,12,0,50,400,4800,158,1896,324,256,0.66015625,0.8828125,0.22265625,256
whole_group_residual,12,0,75,600,7200,255,3060,494,256,0.70703125,0.88671875,0.1796875,256
whole_group_residual,12,0,100,800,9600,293,3516,675,256,0.7578125,0.91015625,0.15234375,256
whole_group_residual,12,0,125,1000,12000,381,4572,856,256,0.8046875,0.92578125,0.12109375,256
whole_group_residual,12,0,150,1200,14400,468,5616,1038,256,0.83203125,0.93359375,0.1015625,256
whole_group_residual,12,0,175,1400,16800,535,6420,1229,256,0.83984375,0.9375,0.09765625,256
whole_group_residual,12,0,200,1600,19200,638,7656,1417,256,0.8828125,0.94140625,0.05859375,256
whole_group_residual,12,0,225,1800,21600,743,8916,1605,256,0.91015625,0.96484375,0.0546875,256
whole_group_residual,12,0,250,2000,24000,852,10224,1798,256,0.91015625,0.9609375,0.05078125,256
whole_group_residual,12,0,275,2200,26400,937,11244,1993,256,0.91015625,0.9609375,0.05078125,256
whole_group_residual,12,0,300,2400,28800,1023,12276,2187,256,0.921875,0.96484375,0.04296875,256
rr_completion,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
rr_completion,12,0,25,200,2400,74,888,152,256,0.54296875,0.83203125,0.2890625,256
rr_completion,12,0,50,400,4800,164,1968,324,256,0.6640625,0.85546875,0.19140625,256
rr_completion,12,0,75,600,7200,259,3108,494,256,0.69921875,0.890625,0.19140625,256
rr_completion,12,0,100,800,9600,302,3624,677,256,0.74609375,0.8984375,0.15234375,256
rr_completion,12,0,125,1000,12000,399,4788,857,256,0.8125,0.92578125,0.11328125,256
rr_completion,12,0,150,1200,14400,488,5856,1040,256,0.8515625,0.9453125,0.09375,256
rr_completion,12,0,175,1400,16800,572,6864,1233,256,0.83984375,0.9453125,0.10546875,256
rr_completion,12,0,200,1600,19200,672,8064,1423,256,0.8984375,0.953125,0.0546875,256
rr_completion,12,0,225,1800,21600,769,9228,1612,256,0.9140625,0.96875,0.0546875,256
rr_completion,12,0,250,2000,24000,875,10500,1805,256,0.921875,0.96875,0.046875,256
rr_completion,12,0,275,2200,26400,957,11484,1999,256,0.91796875,0.96484375,0.046875,256
rr_completion,12,0,300,2400,28800,1057,12684,2193,256,0.91796875,0.96484375,0.046875,256
naive_reward_ht,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
naive_reward_ht,12,0,25,200,2400,79,948,147,256,0.5,0.8515625,0.3515625,256
naive_reward_ht,12,0,50,400,4800,161,1932,317,256,0.58203125,0.84765625,0.265625,256
naive_reward_ht,12,0,75,600,7200,248,2976,480,256,0.6171875,0.8515625,0.234375,256
naive_reward_ht,12,0,100,800,9600,322,3864,646,256,0.640625,0.859375,0.21875,256
naive_reward_ht,12,0,125,1000,12000,411,4932,817,256,0.73046875,0.90234375,0.171875,256
naive_reward_ht,12,0,150,1200,14400,502,6024,988,256,0.765625,0.91796875,0.15234375,256
naive_reward_ht,12,0,175,1400,16800,595,7140,1165,256,0.78515625,0.921875,0.13671875,256
naive_reward_ht,12,0,200,1600,19200,688,8256,1345,256,0.8046875,0.9296875,0.125,256
naive_reward_ht,12,0,225,1800,21600,773,9276,1530,256,0.82421875,0.94140625,0.1171875,256
naive_reward_ht,12,0,250,2000,24000,866,10392,1719,256,0.83984375,0.9453125,0.10546875,256
naive_reward_ht,12,0,275,2200,26400,961,11532,1906,256,0.8515625,0.953125,0.1015625,256
naive_reward_ht,12,0,300,2400,28800,1058,12696,2097,256,0.8671875,0.94921875,0.08203125,256
partial_replacement,12,0,0,0,0,0,0,0,256,0.36328125,0.7734375,0.41015625,256
partial_replacement,12,0,25,200,2400,80,960,152,256,0.5390625,0.84375,0.3046875,256
partial_replacement,12,0,50,400,4800,165,1980,327,256,0.6484375,0.90234375,0.25390625,256
partial_replacement,12,0,75,600,7200,257,3084,501,256,0.6953125,0.9140625,0.21875,256
partial_replacement,12,0,100,800,9600,337,4044,683,256,0.7109375,0.91796875,0.20703125,256
partial_replacement,12,0,125,1000,12000,429,5148,862,256,0.7734375,0.9296875,0.15625,256
partial_replacement,12,0,150,1200,14400,526,6312,1043,256,0.8046875,0.9375,0.1328125,256
partial_replacement,12,0,175,1400,16800,626,7512,1232,256,0.828125,0.94921875,0.12109375,256
partial_replacement,12,0,200,1600,19200,723,8676,1421,256,0.85546875,0.95703125,0.1015625,256
partial_replacement,12,0,225,1800,21600,810,9720,1610,256,0.859375,0.9609375,0.1015625,256
partial_replacement,12,0,250,2000,24000,907,10884,1804,256,0.87109375,0.9609375,0.08984375,256
partial_replacement,12,0,275,2200,26400,1003,12036,1996,256,0.88671875,0.96484375,0.078125,256
partial_replacement,12,0,300,2400,28800,1102,13224,2189,256,0.890625,0.9609375,0.0703125,256
full,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
full,12,1,25,200,2400,159,1908,159,256,0.60546875,0.76953125,0.1640625,256
full,12,1,50,400,4800,325,3900,325,256,0.69921875,0.82421875,0.125,256
full,12,1,75,600,7200,495,5940,495,256,0.7890625,0.88671875,0.09765625,256
full,12,1,100,800,9600,674,8088,674,256,0.81640625,0.8984375,0.08203125,256
full,12,1,125,1000,12000,858,10296,858,256,0.8671875,0.92578125,0.05859375,256
full,12,1,150,1200,14400,1041,12492,1041,256,0.88671875,0.9453125,0.05859375,256
full,12,1,175,1400,16800,1229,14748,1229,256,0.91015625,0.953125,0.04296875,256
full,12,1,200,1600,19200,1421,17052,1421,256,0.9453125,0.98046875,0.03515625,256
full,12,1,225,1800,21600,1613,19356,1613,256,0.9375,0.97265625,0.03515625,256
full,12,1,250,2000,24000,1805,21660,1805,256,0.94140625,0.97265625,0.03125,256
full,12,1,275,2200,26400,1993,23916,1993,256,0.96484375,0.98828125,0.0234375,256
full,12,1,300,2400,28800,2188,26256,2188,256,0.97265625,0.99609375,0.0234375,256
proxy,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
proxy,12,1,25,200,2400,0,0,158,256,0.44921875,0.80078125,0.3515625,256
proxy,12,1,50,400,4800,0,0,332,256,0.421875,0.8828125,0.4609375,256
proxy,12,1,75,600,7200,0,0,505,256,0.36328125,0.91796875,0.5546875,256
proxy,12,1,100,800,9600,0,0,690,256,0.296875,0.93359375,0.63671875,256
proxy,12,1,125,1000,12000,0,0,878,256,0.21875,0.953125,0.734375,256
proxy,12,1,150,1200,14400,0,0,1068,256,0.2578125,0.97265625,0.71484375,256
proxy,12,1,175,1400,16800,0,0,1257,256,0.23046875,0.96484375,0.734375,256
proxy,12,1,200,1600,19200,0,0,1450,256,0.140625,0.97265625,0.83203125,256
proxy,12,1,225,1800,21600,0,0,1644,256,0.2109375,0.98828125,0.77734375,256
proxy,12,1,250,2000,24000,0,0,1838,256,0.1796875,0.98828125,0.80859375,256
proxy,12,1,275,2200,26400,0,0,2030,256,0.1328125,0.9921875,0.859375,256
proxy,12,1,300,2400,28800,0,0,2227,256,0.109375,0.99609375,0.88671875,256
whole_group_residual,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
whole_group_residual,12,1,25,200,2400,77,924,154,256,0.58203125,0.75390625,0.171875,256
whole_group_residual,12,1,50,400,4800,125,1500,317,256,0.6640625,0.80859375,0.14453125,256
whole_group_residual,12,1,75,600,7200,194,2328,481,256,0.76171875,0.8984375,0.13671875,256
whole_group_residual,12,1,100,800,9600,279,3348,662,256,0.8125,0.8984375,0.0859375,256
whole_group_residual,12,1,125,1000,12000,337,4044,843,256,0.8359375,0.9140625,0.078125,256
whole_group_residual,12,1,150,1200,14400,419,5028,1025,256,0.8515625,0.94140625,0.08984375,256
whole_group_residual,12,1,175,1400,16800,526,6312,1213,256,0.88671875,0.94921875,0.0625,256
whole_group_residual,12,1,200,1600,19200,593,7116,1402,256,0.9140625,0.9609375,0.046875,256
whole_group_residual,12,1,225,1800,21600,699,8388,1594,256,0.91796875,0.9609375,0.04296875,256
whole_group_residual,12,1,250,2000,24000,820,9840,1786,256,0.9296875,0.97265625,0.04296875,256
whole_group_residual,12,1,275,2200,26400,918,11016,1976,256,0.9453125,0.98046875,0.03515625,256
whole_group_residual,12,1,300,2400,28800,974,11688,2169,256,0.95703125,0.984375,0.02734375,256
rr_completion,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
rr_completion,12,1,25,200,2400,69,828,156,256,0.56640625,0.73046875,0.1640625,256
rr_completion,12,1,50,400,4800,129,1548,319,256,0.6640625,0.80859375,0.14453125,256
rr_completion,12,1,75,600,7200,210,2520,485,256,0.75390625,0.8828125,0.12890625,256
rr_completion,12,1,100,800,9600,304,3648,665,256,0.81640625,0.8984375,0.08203125,256
rr_completion,12,1,125,1000,12000,375,4500,845,256,0.83984375,0.91015625,0.0703125,256
rr_completion,12,1,150,1200,14400,448,5376,1027,256,0.84375,0.93359375,0.08984375,256
rr_completion,12,1,175,1400,16800,559,6708,1216,256,0.8828125,0.94921875,0.06640625,256
rr_completion,12,1,200,1600,19200,618,7416,1405,256,0.890625,0.953125,0.0625,256
rr_completion,12,1,225,1800,21600,706,8472,1595,256,0.90234375,0.95703125,0.0546875,256
rr_completion,12,1,250,2000,24000,821,9852,1786,256,0.92578125,0.97265625,0.046875,256
rr_completion,12,1,275,2200,26400,923,11076,1974,256,0.9453125,0.9765625,0.03125,256
rr_completion,12,1,300,2400,28800,996,11952,2167,256,0.94921875,0.98046875,0.03125,256
naive_reward_ht,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
naive_reward_ht,12,1,25,200,2400,75,900,155,256,0.53515625,0.76171875,0.2265625,256
naive_reward_ht,12,1,50,400,4800,158,1896,315,256,0.6171875,0.7890625,0.171875,256
naive_reward_ht,12,1,75,600,7200,232,2784,477,256,0.6796875,0.83203125,0.15234375,256
naive_reward_ht,12,1,100,800,9600,328,3936,649,256,0.6953125,0.828125,0.1328125,256
naive_reward_ht,12,1,125,1000,12000,400,4800,820,256,0.7265625,0.84375,0.1171875,256
naive_reward_ht,12,1,150,1200,14400,486,5832,996,256,0.78125,0.890625,0.109375,256
naive_reward_ht,12,1,175,1400,16800,578,6936,1176,256,0.8125,0.90234375,0.08984375,256
naive_reward_ht,12,1,200,1600,19200,667,8004,1358,256,0.8203125,0.90234375,0.08203125,256
naive_reward_ht,12,1,225,1800,21600,759,9108,1539,256,0.81640625,0.90625,0.08984375,256
naive_reward_ht,12,1,250,2000,24000,857,10284,1724,256,0.8359375,0.91015625,0.07421875,256
naive_reward_ht,12,1,275,2200,26400,954,11448,1903,256,0.859375,0.92578125,0.06640625,256
naive_reward_ht,12,1,300,2400,28800,1035,12420,2088,256,0.87890625,0.9296875,0.05078125,256
partial_replacement,12,1,0,0,0,0,0,0,256,0.41015625,0.71484375,0.3046875,256
partial_replacement,12,1,25,200,2400,76,912,159,256,0.53515625,0.77734375,0.2421875,256
partial_replacement,12,1,50,400,4800,163,1956,325,256,0.61328125,0.83203125,0.21875,256
partial_replacement,12,1,75,600,7200,239,2868,492,256,0.7265625,0.90234375,0.17578125,256
partial_replacement,12,1,100,800,9600,339,4068,674,256,0.7890625,0.91015625,0.12109375,256
partial_replacement,12,1,125,1000,12000,417,5004,857,256,0.8125,0.93359375,0.12109375,256
partial_replacement,12,1,150,1200,14400,505,6060,1039,256,0.82421875,0.9453125,0.12109375,256
partial_replacement,12,1,175,1400,16800,601,7212,1228,256,0.8515625,0.953125,0.1015625,256
partial_replacement,12,1,200,1600,19200,696,8352,1417,256,0.90234375,0.97265625,0.0703125,256
partial_replacement,12,1,225,1800,21600,794,9528,1609,256,0.8984375,0.96484375,0.06640625,256
partial_replacement,12,1,250,2000,24000,894,10728,1800,256,0.90625,0.97265625,0.06640625,256
partial_replacement,12,1,275,2200,26400,996,11952,1988,256,0.9140625,0.984375,0.0703125,256
partial_replacement,12,1,300,2400,28800,1080,12960,2180,256,0.9375,0.9921875,0.0546875,256
full,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
full,12,2,25,200,2400,154,1848,154,256,0.5703125,0.8203125,0.25,256
full,12,2,50,400,4800,327,3924,327,256,0.65625,0.84375,0.1875,256
full,12,2,75,600,7200,501,6012,501,256,0.74609375,0.90625,0.16015625,256
full,12,2,100,800,9600,680,8160,680,256,0.8046875,0.93359375,0.12890625,256
full,12,2,125,1000,12000,867,10404,867,256,0.8125,0.93359375,0.12109375,256
full,12,2,150,1200,14400,1054,12648,1054,256,0.8515625,0.94140625,0.08984375,256
full,12,2,175,1400,16800,1248,14976,1248,256,0.86328125,0.94140625,0.078125,256
full,12,2,200,1600,19200,1442,17304,1442,256,0.8671875,0.9453125,0.078125,256
full,12,2,225,1800,21600,1632,19584,1632,256,0.890625,0.953125,0.0625,256
full,12,2,250,2000,24000,1822,21864,1822,256,0.90234375,0.9609375,0.05859375,256
full,12,2,275,2200,26400,2014,24168,2014,256,0.90625,0.95703125,0.05078125,256
full,12,2,300,2400,28800,2209,26508,2209,256,0.9140625,0.96484375,0.05078125,256
proxy,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
proxy,12,2,25,200,2400,0,0,161,256,0.41796875,0.828125,0.41015625,256
proxy,12,2,50,400,4800,0,0,337,256,0.453125,0.87890625,0.42578125,256
proxy,12,2,75,600,7200,0,0,514,256,0.4296875,0.921875,0.4921875,256
proxy,12,2,100,800,9600,0,0,697,256,0.28515625,0.93359375,0.6484375,256
proxy,12,2,125,1000,12000,0,0,886,256,0.28515625,0.9375,0.65234375,256
proxy,12,2,150,1200,14400,0,0,1074,256,0.2578125,0.9453125,0.6875,256
proxy,12,2,175,1400,16800,0,0,1268,256,0.2421875,0.94921875,0.70703125,256
proxy,12,2,200,1600,19200,0,0,1461,256,0.22265625,0.94921875,0.7265625,256
proxy,12,2,225,1800,21600,0,0,1653,256,0.26171875,0.953125,0.69140625,256
proxy,12,2,250,2000,24000,0,0,1843,256,0.20703125,0.96875,0.76171875,256
proxy,12,2,275,2200,26400,0,0,2036,256,0.13671875,0.98046875,0.84375,256
proxy,12,2,300,2400,28800,0,0,2230,256,0.1796875,0.97265625,0.79296875,256
whole_group_residual,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
whole_group_residual,12,2,25,200,2400,83,996,154,256,0.58984375,0.8203125,0.23046875,256
whole_group_residual,12,2,50,400,4800,165,1980,326,256,0.6640625,0.83203125,0.16796875,256
whole_group_residual,12,2,75,600,7200,222,2664,500,256,0.73828125,0.90625,0.16796875,256
whole_group_residual,12,2,100,800,9600,302,3624,677,256,0.80078125,0.921875,0.12109375,256
whole_group_residual,12,2,125,1000,12000,414,4968,863,256,0.8203125,0.93359375,0.11328125,256
whole_group_residual,12,2,150,1200,14400,498,5976,1049,256,0.83984375,0.93359375,0.09375,256
whole_group_residual,12,2,175,1400,16800,554,6648,1242,256,0.84375,0.9296875,0.0859375,256
whole_group_residual,12,2,200,1600,19200,641,7692,1436,256,0.8671875,0.93359375,0.06640625,256
whole_group_residual,12,2,225,1800,21600,726,8712,1626,256,0.8828125,0.9453125,0.0625,256
whole_group_residual,12,2,250,2000,24000,834,10008,1811,256,0.890625,0.94921875,0.05859375,256
whole_group_residual,12,2,275,2200,26400,942,11304,2003,256,0.89453125,0.94140625,0.046875,256
whole_group_residual,12,2,300,2400,28800,1059,12708,2198,256,0.89453125,0.953125,0.05859375,256
rr_completion,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
rr_completion,12,2,25,200,2400,73,876,155,256,0.58203125,0.828125,0.24609375,256
rr_completion,12,2,50,400,4800,147,1764,327,256,0.65625,0.84375,0.1875,256
rr_completion,12,2,75,600,7200,209,2508,501,256,0.70703125,0.90625,0.19921875,256
rr_completion,12,2,100,800,9600,293,3516,679,256,0.78515625,0.92578125,0.140625,256
rr_completion,12,2,125,1000,12000,400,4800,865,256,0.78515625,0.9375,0.15234375,256
rr_completion,12,2,150,1200,14400,489,5868,1049,256,0.82421875,0.9453125,0.12109375,256
rr_completion,12,2,175,1400,16800,551,6612,1243,256,0.84375,0.93359375,0.08984375,256
rr_completion,12,2,200,1600,19200,636,7632,1434,256,0.86328125,0.9375,0.07421875,256
rr_completion,12,2,225,1800,21600,725,8700,1624,256,0.875,0.9453125,0.0703125,256
rr_completion,12,2,250,2000,24000,812,9744,1811,256,0.89453125,0.94921875,0.0546875,256
rr_completion,12,2,275,2200,26400,915,10980,2003,256,0.890625,0.94140625,0.05078125,256
rr_completion,12,2,300,2400,28800,1025,12300,2198,256,0.89453125,0.94921875,0.0546875,256
naive_reward_ht,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
naive_reward_ht,12,2,25,200,2400,86,1032,151,256,0.52734375,0.7890625,0.26171875,256
naive_reward_ht,12,2,50,400,4800,172,2064,315,256,0.59765625,0.8046875,0.20703125,256
naive_reward_ht,12,2,75,600,7200,254,3048,477,256,0.609375,0.81640625,0.20703125,256
naive_reward_ht,12,2,100,800,9600,343,4116,644,256,0.69140625,0.88671875,0.1953125,256
naive_reward_ht,12,2,125,1000,12000,434,5208,824,256,0.71484375,0.90625,0.19140625,256
naive_reward_ht,12,2,150,1200,14400,523,6276,1004,256,0.734375,0.8984375,0.1640625,256
naive_reward_ht,12,2,175,1400,16800,618,7416,1189,256,0.76171875,0.88671875,0.125,256
naive_reward_ht,12,2,200,1600,19200,705,8460,1375,256,0.765625,0.890625,0.125,256
naive_reward_ht,12,2,225,1800,21600,789,9468,1553,256,0.77734375,0.89453125,0.1171875,256
naive_reward_ht,12,2,250,2000,24000,885,10620,1731,256,0.8125,0.91796875,0.10546875,256
naive_reward_ht,12,2,275,2200,26400,978,11736,1915,256,0.84375,0.9375,0.09375,256
naive_reward_ht,12,2,300,2400,28800,1069,12828,2104,256,0.84765625,0.9453125,0.09765625,256
partial_replacement,12,2,0,0,0,0,0,0,256,0.3828125,0.71484375,0.33203125,256
partial_replacement,12,2,25,200,2400,87,1044,157,256,0.515625,0.828125,0.3125,256
partial_replacement,12,2,50,400,4800,178,2136,330,256,0.625,0.859375,0.234375,256
partial_replacement,12,2,75,600,7200,268,3216,504,256,0.6875,0.91015625,0.22265625,256
partial_replacement,12,2,100,800,9600,363,4356,680,256,0.734375,0.9296875,0.1953125,256
partial_replacement,12,2,125,1000,12000,458,5496,867,256,0.78515625,0.93359375,0.1484375,256
partial_replacement,12,2,150,1200,14400,549,6588,1053,256,0.8046875,0.9296875,0.125,256
partial_replacement,12,2,175,1400,16800,646,7752,1244,256,0.80859375,0.9296875,0.12109375,256
partial_replacement,12,2,200,1600,19200,735,8820,1435,256,0.84375,0.94140625,0.09765625,256
partial_replacement,12,2,225,1800,21600,824,9888,1625,256,0.85546875,0.9453125,0.08984375,256
partial_replacement,12,2,250,2000,24000,925,11100,1813,256,0.86328125,0.953125,0.08984375,256
partial_replacement,12,2,275,2200,26400,1023,12276,2005,256,0.87890625,0.953125,0.07421875,256
partial_replacement,12,2,300,2400,28800,1115,13380,2199,256,0.8828125,0.96484375,0.08203125,256
full,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
full,12,3,25,200,2400,163,1956,163,256,0.54296875,0.8125,0.26953125,256
full,12,3,50,400,4800,329,3948,329,256,0.69921875,0.875,0.17578125,256
full,12,3,75,600,7200,501,6012,501,256,0.76171875,0.9140625,0.15234375,256
full,12,3,100,800,9600,688,8256,688,256,0.80078125,0.921875,0.12109375,256
full,12,3,125,1000,12000,869,10428,869,256,0.85546875,0.9453125,0.08984375,256
full,12,3,150,1200,14400,1057,12684,1057,256,0.87890625,0.94921875,0.0703125,256
full,12,3,175,1400,16800,1245,14940,1245,256,0.91015625,0.97265625,0.0625,256
full,12,3,200,1600,19200,1435,17220,1435,256,0.9296875,0.98046875,0.05078125,256
full,12,3,225,1800,21600,1629,19548,1629,256,0.9453125,0.984375,0.0390625,256
full,12,3,250,2000,24000,1819,21828,1819,256,0.94921875,0.98828125,0.0390625,256
full,12,3,275,2200,26400,2018,24216,2018,256,0.96484375,0.98828125,0.0234375,256
full,12,3,300,2400,28800,2214,26568,2214,256,0.96484375,0.98828125,0.0234375,256
proxy,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
proxy,12,3,25,200,2400,0,0,166,256,0.4140625,0.85546875,0.44140625,256
proxy,12,3,50,400,4800,0,0,337,256,0.40625,0.8984375,0.4921875,256
proxy,12,3,75,600,7200,0,0,513,256,0.328125,0.9375,0.609375,256
proxy,12,3,100,800,9600,0,0,706,256,0.24609375,0.94921875,0.703125,256
proxy,12,3,125,1000,12000,0,0,891,256,0.12109375,0.9765625,0.85546875,256
proxy,12,3,150,1200,14400,0,0,1080,256,0.12109375,0.98046875,0.859375,256
proxy,12,3,175,1400,16800,0,0,1272,256,0.0703125,0.98046875,0.91015625,256
proxy,12,3,200,1600,19200,0,0,1466,256,0.07421875,0.984375,0.91015625,256
proxy,12,3,225,1800,21600,0,0,1658,256,0.09375,0.98828125,0.89453125,256
proxy,12,3,250,2000,24000,0,0,1851,256,0.1484375,0.98828125,0.83984375,256
proxy,12,3,275,2200,26400,0,0,2051,256,0.1484375,0.98828125,0.83984375,256
proxy,12,3,300,2400,28800,0,0,2247,256,0.12890625,0.98828125,0.859375,256
whole_group_residual,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
whole_group_residual,12,3,25,200,2400,65,780,163,256,0.51953125,0.80859375,0.2890625,256
whole_group_residual,12,3,50,400,4800,108,1296,331,256,0.6171875,0.86328125,0.24609375,256
whole_group_residual,12,3,75,600,7200,213,2556,503,256,0.734375,0.89453125,0.16015625,256
whole_group_residual,12,3,100,800,9600,323,3876,688,256,0.77734375,0.9140625,0.13671875,256
whole_group_residual,12,3,125,1000,12000,408,4896,867,256,0.8359375,0.94921875,0.11328125,256
whole_group_residual,12,3,150,1200,14400,491,5892,1054,256,0.8828125,0.9765625,0.09375,256
whole_group_residual,12,3,175,1400,16800,581,6972,1240,256,0.921875,0.984375,0.0625,256
whole_group_residual,12,3,200,1600,19200,663,7956,1430,256,0.92578125,0.984375,0.05859375,256
whole_group_residual,12,3,225,1800,21600,727,8724,1623,256,0.93359375,0.98828125,0.0546875,256
whole_group_residual,12,3,250,2000,24000,810,9720,1813,256,0.94140625,0.98828125,0.046875,256
whole_group_residual,12,3,275,2200,26400,905,10860,2012,256,0.95703125,0.98828125,0.03125,256
whole_group_residual,12,3,300,2400,28800,1006,12072,2207,256,0.96484375,0.98828125,0.0234375,256
rr_completion,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
rr_completion,12,3,25,200,2400,71,852,165,256,0.5078125,0.8125,0.3046875,256
rr_completion,12,3,50,400,4800,129,1548,332,256,0.6328125,0.86328125,0.23046875,256
rr_completion,12,3,75,600,7200,232,2784,507,256,0.7578125,0.90625,0.1484375,256
rr_completion,12,3,100,800,9600,347,4164,695,256,0.81640625,0.9453125,0.12890625,256
rr_completion,12,3,125,1000,12000,436,5232,876,256,0.8515625,0.94921875,0.09765625,256
rr_completion,12,3,150,1200,14400,508,6096,1064,256,0.8671875,0.95703125,0.08984375,256
rr_completion,12,3,175,1400,16800,607,7284,1251,256,0.89453125,0.97265625,0.078125,256
rr_completion,12,3,200,1600,19200,702,8424,1440,256,0.921875,0.98046875,0.05859375,256
rr_completion,12,3,225,1800,21600,782,9384,1632,256,0.92578125,0.9765625,0.05078125,256
rr_completion,12,3,250,2000,24000,866,10392,1822,256,0.94921875,0.98046875,0.03125,256
rr_completion,12,3,275,2200,26400,942,11304,2020,256,0.94921875,0.98046875,0.03125,256
rr_completion,12,3,300,2400,28800,1043,12516,2215,256,0.953125,0.984375,0.03125,256
naive_reward_ht,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
naive_reward_ht,12,3,25,200,2400,81,972,160,256,0.46875,0.7890625,0.3203125,256
naive_reward_ht,12,3,50,400,4800,155,1860,321,256,0.57421875,0.83203125,0.2578125,256
naive_reward_ht,12,3,75,600,7200,232,2784,490,256,0.65625,0.8671875,0.2109375,256
naive_reward_ht,12,3,100,800,9600,330,3960,671,256,0.69140625,0.88671875,0.1953125,256
naive_reward_ht,12,3,125,1000,12000,412,4944,836,256,0.74609375,0.8984375,0.15234375,256
naive_reward_ht,12,3,150,1200,14400,505,6060,1017,256,0.77734375,0.93359375,0.15625,256
naive_reward_ht,12,3,175,1400,16800,586,7032,1195,256,0.80078125,0.9453125,0.14453125,256
naive_reward_ht,12,3,200,1600,19200,674,8088,1379,256,0.84375,0.9609375,0.1171875,256
naive_reward_ht,12,3,225,1800,21600,760,9120,1567,256,0.84765625,0.953125,0.10546875,256
naive_reward_ht,12,3,250,2000,24000,855,10260,1756,256,0.86328125,0.9609375,0.09765625,256
naive_reward_ht,12,3,275,2200,26400,951,11412,1949,256,0.8828125,0.97265625,0.08984375,256
naive_reward_ht,12,3,300,2400,28800,1044,12528,2140,256,0.88671875,0.9765625,0.08984375,256
partial_replacement,12,3,0,0,0,0,0,0,256,0.37890625,0.71875,0.33984375,256
